id,customer_id,order_date,amount,status
1,216,2025-04-03,429.94,delivered
2,849,2025-07-26,471.9,refunded
3,836,2026-04-27,377.58,cancelled
4,1631,2024-09-22,52.92,delivered
5,112,2026-02-20,125.34,pending
6,1575,2024-11-14,99.5,delivered
7,701,2025-08-13,360.38,cancelled
8,759,2025-07-19,333.98,cancelled
9,743,2026-03-14,456.24,shipped
10,1205,2025-12-29,250.38,pending
11,1566,2024-10-28,6.55,refunded
12,665,2025-12-08,410.96,shipped
13,495,2025-03-12,318.38,cancelled
14,1559,2026-02-10,65.39,cancelled
15,1304,2024-10-03,219.12,cancelled
16,1948,2026-05-17,117.59,shipped
17,1713,2026-05-18,11.41,shipped
18,1590,2026-06-16,156.21,refunded
19,1222,2024-09-16,256.9,refunded
20,144,2025-12-23,431.53,shipped
21,1186,2025-02-10,483.73,cancelled
22,229,2025-05-30,33.61,pending
23,1759,2026-05-23,226.5,pending
24,814,2025-11-30,117.55,cancelled
25,119,2025-05-16,35.34,pending
26,245,2025-08-17,435.73,cancelled
27,908,2025-12-04,350.25,pending
28,1218,2025-11-09,150.52,cancelled
29,67,2025-11-04,323.49,pending
30,1126,2025-08-18,320.53,pending
31,1768,2025-01-02,314.65,shipped
32,38,2025-09-25,389.62,refunded
33,1059,2025-05-01,245.57,refunded
34,1105,2025-09-22,263.19,delivered
35,1593,2025-02-21,183.79,cancelled
36,1088,2026-03-10,280.87,cancelled
37,363,2025-08-08,134.64,shipped
38,1923,2026-02-06,11.99,pending
39,1168,2026-02-18,38.41,delivered
40,1000,2026-05-03,307.45,pending
41,237,2026-05-02,104.97,shipped
42,788,2025-08-12,82.93,pending
43,135,2026-05-18,200.57,refunded
44,1981,2024-11-03,14.68,shipped
45,1857,2025-10-11,490.37,cancelled
46,632,2026-08-01,333.15,shipped
47,921,2024-11-13,410.41,pending
48,1164,2025-04-07,332.21,shipped
49,1354,2024-12-02,469.72,cancelled
50,1309,2025-03-07,280.1,shipped
51,242,2026-06-21,429.78,pending
52,747,2024-12-02,377.9,shipped
53,781,2026-04-28,416.2,pending
54,565,2026-07-06,309.6,delivered
55,886,2026-03-05,149.76,delivered
56,123,2026-04-01,354.69,pending
57,673,2024-11-26,394.28,refunded
58,523,2026-07-10,258.71,refunded
59,1816,2024-11-22,448.9,pending
60,1275,2026-08-30,87.55,refunded
61,1222,2024-10-25,324.64,cancelled
